"Atropelamento de Pedestre","3057","902","29.51","4.11"
"Colisão frontal","4739","1396","29.46","4.1"
"Colisão lateral sentido oposto","2152","212","9.85","1.37"
"Eventos atípicos","287","23","8.01","1.12"
"Atropelamento de Animal","1133","68","6","0.84"
"Saída de leito carroçável","10209","605","5.93","0.82"
"Colisão com objeto","5109","297","5.81","0.81"
"Colisão transversal","9306","427","4.59","0.64"
"Capotamento","1373","63","4.59","0.64"
"Colisão traseira","14360","619","4.31","0.6"
"Tombamento","6351","268","4.22","0.59"
"Derramamento de carga","107","3","2.8","0.39"
"Colisão lateral mesmo sentido","7885","212","2.69","0.37"
"Queda de ocupante de veículo","3450","87","2.52","0.35"
"Engavetamento","1233","28","2.27","0.32"
"Incêndio","1771","0","0","0"
